name,base_price,price,product_url,product_img,product_label
"아이캔컴퍼니 LPM 루미너스 접이식 거실테이블 1200, 블랙마블"," 50,400  ","41,000",https://www.coupang.com/vp/products/4760035301?itemId=6064041657&vendorItemId=73360918470&sourceType=srp_product_ads&clickEventId=32cca8da-a21c-43ec-82a5-ee4418da54b0&korePlacement=15&koreSubPlacement=1&clickEventId=32cca8da-a21c-43ec-82a5-ee4418da54b0&korePlacement=15&koreSubPlacement=1,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/knrrsraq/986997643ff24c098b46e46b2adf4b05.jpg,테이블
스토리퍼니쳐 1200x600 터키쉬그린 7파이 LPM 지문방지 비스포크 테이블," 44,900  ","39,900",https://www.coupang.com/vp/products/6107760652?itemId=11491074885&vendorItemId=78766370821&pickType=COU_PICK,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/p5mpynzk/8ef62814fefc42a3ac2532ec8e991224.jpg,테이블
"THEJOA 모던테이블 800, 빈티지브라운"," 42,140  ","39,230",https://www.coupang.com/vp/products/4564659924?itemId=5566367670&vendorItemId=72509753420,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/k40ccejq/1a316082bc3d40cdb672cc56e106095c.jpg,테이블
"아이캔컴퍼니 LPM 4단 높이조절 베이직 접이식테이블 800, 마블"," 39,500  ","25,800",https://www.coupang.com/vp/products/4760035821?itemId=6064042518&vendorItemId=73360919277,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mhtlplzq/ed23aa6dafec460ca70ca9399ac948e5.jpg,테이블
LPM 800 심플 타원형 접이식테이블 샌드베이지," 29,210  ","28,800",https://www.coupang.com/vp/products/1879387784?itemId=14830178229&vendorItemId=82069556115&sourceType=srp_product_ads&clickEventId=1b8b90c2-da7d-46b3-9155-e9662a7d6087&korePlacement=15&koreSubPlacement=5&clickEventId=1b8b90c2-da7d-46b3-9155-e9662a7d6087&korePlacement=15&koreSubPlacement=5,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/1wjordeq/2b7519c5c61f4badad4eed375202d9c6.jpg,테이블
"이반가구 접이식 대형 칼라테이블 식탁 사각형 집들이상 손님상, 칼라테이블 1600x600, 비앙코블랙, 4단"," 105,000  ","87,000",https://www.coupang.com/vp/products/6936678863?itemId=16806238350&vendorItemId=83986618004&sourceType=srp_product_ads&clickEventId=f1216258-68b6-4d2e-a359-80fb6b7cefaa&korePlacement=15&koreSubPlacement=6&clickEventId=f1216258-68b6-4d2e-a359-80fb6b7cefaa&korePlacement=15&koreSubPlacement=6,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6816/975470506449e606709b8783666d41fe6c87411be650ae0bf3325d30a474.jpg,테이블
"우드미가구 바오 1인용 컴퓨터책상 입식 1200, 화이트"," 46,720  ","41,570",https://www.coupang.com/vp/products/5219687351?itemId=7322640668&vendorItemId=74613895010,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/b75fjq5v/6dab475c77074a9db3c20c1233e2c40f.jpg,테이블
네츄럴 라인 다용도상 소형," 20,000  ","11,230",https://www.coupang.com/vp/products/2568423?itemId=1437730&vendorItemId=3001384557,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/07/03/3001384557/7e71e22b-c951-4922-8d1e-9b3d98c912f7.jpg,테이블
"아이캔컴퍼니 커피빈 LPM 접이식 테이블 L, 화이트"," 26,800  ","26,400",https://www.coupang.com/vp/products/5897511813?itemId=10388701310&vendorItemId=77670738460&sourceType=srp_product_ads&clickEventId=899d636e-69d2-4ff8-bbf5-f0c07993db5f&korePlacement=15&koreSubPlacement=9&clickEventId=899d636e-69d2-4ff8-bbf5-f0c07993db5f&korePlacement=15&koreSubPlacement=9,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"코멧 멀티 책상 1260, 블랙",,"36,990",https://www.coupang.com/vp/products/1601845545?itemId=2736017012&vendorItemId=70726113215,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"이반가구 4인~8인 접이식 대형 4단쌍다리테이블 높이조절 좌식 집들이상 손님상 밥상 교자상 다용도 박세리 식탁 미우새 김준호, 1800x800, 그레이(블랙테두리), 쌍다리4단블랙"," 180,000  ","114,900",https://www.coupang.com/vp/products/6825024989?itemId=16187708287&vendorItemId=76884896791&sourceType=srp_product_ads&clickEventId=582b9aab-3919-4e90-a1b4-ff7b2bd8f9a7&korePlacement=15&koreSubPlacement=11&clickEventId=582b9aab-3919-4e90-a1b4-ff7b2bd8f9a7&korePlacement=15&koreSubPlacement=11,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"아이캔컴퍼니 올리브 LPM 접이식테이블 800, 화이트우드"," 28,340  ","26,400",https://www.coupang.com/vp/products/5897511843?itemId=10388701477&vendorItemId=77670738638&sourceType=srp_product_ads&clickEventId=c92cb83e-71ad-4dc0-82ee-315dae37d9e5&korePlacement=15&koreSubPlacement=12&clickEventId=c92cb83e-71ad-4dc0-82ee-315dae37d9e5&korePlacement=15&koreSubPlacement=12,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"
                                                        서우 네츄럴 다용도상 특대 90 x 60cm, 집성목
                                                    "," 30,700  ","24,560",https://www.coupang.com/vp/products/2570336?itemId=328365764&vendorItemId=3805228581&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15744468217129-ef242860-ae24-4a4a-81a6-f601c86c8813.jpg,테이블
"
                                                        서우 네츄럴 다용도상 특대 90 x 60cm, 집성목
                                                    "," 30,700  ","24,560",https://www.coupang.com/vp/products/2570336?itemId=328365764&vendorItemId=3805228581&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15744468217129-ef242860-ae24-4a4a-81a6-f601c86c8813.jpg,테이블
"
                                                        도리퍼니처 하모니 블랙 테이블, 빈티지
                                                    "," 57,800  ","53,940",https://www.coupang.com/vp/products/2022424901?itemId=107653616&vendorItemId=71795461370&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/13/12/1/f30be79e-ace9-4c6b-a540-4d5f929c5eea.jpg,테이블
